date	island	site	point	time	spp	numind	dist	occasion
6/24/11	Rota	Isang	Ia	818	Myru	1	25	3
6/24/11	Rota	Isang	Ia	818	Toch	1	35	3
6/24/11	Rota	Isang	Ia	818	Ptro	1	50	3
6/24/11	Rota	Isang	Ic	838	Ptro	1	55	3
6/24/11	Rota	Isang	Ic	838	Ptro	1	90	3
6/24/11	Rota	Isang	Ic	838	Rhru	1	30	3
6/24/11	Rota	Isang	Ic	838	Apop	1	40	3
6/24/11	Rota	Isang	Ic	838	Myru	1	25	3
6/24/11	Rota	Isang	Ic	838	Rhru	1	18	3
6/24/11	Rota	Isang	Ic	838	Apop	1	27	3
6/24/11	Rota	Isang	Ic	838	Apop	1	20	3
6/24/11	Rota	Isang	Ic	838	Ptro	1	70	3
6/24/11	Rota	Isang	Ic	838	Ptro	1	25	3
6/24/11	Rota	Isang	Ic	838	Toch	1	40	3
6/24/11	Rota	Isang	Ic	838	Rhru	1	30	3
6/24/11	Rota	Isang	Ib	857	Apop	2	10	3
6/24/11	Rota	Isang	Ib	857	Toch	1	30	3
6/24/11	Rota	Isang	Ib	857	Dima	1	15	3
6/24/11	Rota	Isang	Ib	857	Apop	1	25	3
6/24/11	Rota	Isang	Ib	857	Rhru	1	25	3
6/24/11	Rota	Isang	Ib	857	Ptro	1	80	3
